Cnty_cod,County,DateUpdated,ConfirmedCases,CaseRates,HospitalizedCases,Deaths
3,Litchfield,03/24/2020,22,,3,0
2,Hartford,03/24/2020,88,,17,2
7,Tolland,03/24/2020,19,,4,3
8,Windham,03/24/2020,2,,0,0
6,New London,03/24/2020,6,,1,0
1,Fairfield,03/24/2020,384,,23,7
4,Middlesex,03/24/2020,8,,4,0
5,New Haven,03/24/2020,89,,19,0
1,Fairfield,03/25/2020,546,,47,12
2,Hartford,03/25/2020,116,,24,2
3,Litchfield,03/25/2020,33,,3,0
4,Middlesex,03/25/2020,15,,4,0
5,New Haven,03/25/2020,127,,28,2
6,New London,03/25/2020,9,,2,0
7,Tolland,03/25/2020,27,,5,3
8,Windham,03/25/2020,2,,0,0
1,Fairfield,03/26/2020,607,,49,13
2,Hartford,03/26/2020,138,,27,2
3,Litchfield,03/26/2020,44,,3,0
4,Middlesex,03/26/2020,18,,5,1
5,New Haven,03/26/2020,156,,34,2
6,New London,03/26/2020,13,,2,0
7,Tolland,03/26/2020,33,,5,3
8,Windham,03/26/2020,3,,0,0
1,Fairfield,03/27/2020,752,,68,15
2,Hartford,03/27/2020,189,,36,2
3,Litchfield,03/27/2020,52,,9,0
4,Middlesex,03/27/2020,25,,5,1
5,New Haven,03/27/2020,222,,46,6
6,New London,03/27/2020,15,,2,0
7,Tolland,03/27/2020,33,,7,3
8,Windham,03/27/2020,3,,0,0
1,Fairfield,03/28/2020,908,,88,20
2,Hartford,03/28/2020,228,,41,2
3,Litchfield,03/28/2020,65,,12,0
4,Middlesex,03/28/2020,28,,5,1
5,New Haven,03/28/2020,236,,50,6
6,New London,03/28/2020,19,,2,0
7,Tolland,03/28/2020,37,,7,4
8,Windham,03/28/2020,3,,0,0
1,Fairfield,03/29/2020,1245,,189,21
2,Hartford,03/29/2020,276,,67,2
3,Litchfield,03/29/2020,87,,5,0
4,Middlesex,03/29/2020,38,,1,1
5,New Haven,03/29/2020,280,,137,6
6,New London,03/29/2020,20,,4,0
7,Tolland,03/29/2020,40,,0,4
8,Windham,03/29/2020,7,,1,0
1,Fairfield,03/30/2020,1445,,101,21
2,Hartford,03/30/2020,330,,59,3
3,Litchfield,03/30/2020,113,,18,1
4,Middlesex,03/30/2020,50,,6,1
5,New Haven,03/30/2020,373,,55,6
6,New London,03/30/2020,24,,4,0
7,Tolland,03/30/2020,50,,7,4
8,Windham,03/30/2020,10,,0,0
1,Fairfield,03/31/2020,1870,,275,38
2,Hartford,03/31/2020,393,,110,7
3,Litchfield,03/31/2020,121,,7,1
4,Middlesex,03/31/2020,56,,5,1
5,New Haven,03/31/2020,517,,202,12
6,New London,03/31/2020,27,,8,1
7,Tolland,03/31/2020,56,,1,7
8,Windham,03/31/2020,11,,0,0
1,Fairfield,04/01/2020,1986,,359,46
2,Hartford,04/01/2020,469,,126,11
3,Litchfield,04/01/2020,131,,11,1
4,Middlesex,04/01/2020,66,,8,2
5,New Haven,04/01/2020,611,,251,15
6,New London,04/01/2020,29,,10,1
7,Tolland,04/01/2020,61,,1,7
8,Windham,04/01/2020,19,,0,0
1,Fairfield,04/02/2020,2132,,381,65
2,Hartford,04/02/2020,539,,136,13
3,Litchfield,04/02/2020,141,,11,2
4,Middlesex,04/02/2020,74,,11,3
5,New Haven,04/02/2020,647,,274,17
6,New London,04/02/2020,29,,9,1
7,Tolland,04/02/2020,67,,2,10
8,Windham,04/02/2020,21,,3,0
1,Fairfield,04/03/2020,2716,,409,75
2,Hartford,04/03/2020,679,,166,18
3,Litchfield,04/03/2020,173,,14,4
4,Middlesex,04/03/2020,91,,12,2
5,New Haven,04/03/2020,891,,293,18
6,New London,04/03/2020,40,,9,3
7,Tolland,04/03/2020,79,,3,10
8,Windham,04/03/2020,27,,3,0
1,Fairfield,04/04/2020,2824,,475,86
2,Hartford,04/04/2020,726,,184,26
3,Litchfield,04/04/2020,182,,15,5
4,Middlesex,04/04/2020,100,,19,4
5,New Haven,04/04/2020,1024,,324,29
6,New London,04/04/2020,57,,10,3
7,Tolland,04/04/2020,91,,3,10
8,Windham,04/04/2020,31,,3,1
1,Fairfield,04/05/2020,3050,,531,96
2,Hartford,04/05/2020,751,,189,29
3,Litchfield,04/05/2020,197,,15,6
4,Middlesex,04/05/2020,110,,19,5
5,New Haven,04/05/2020,1162,,372,36
6,New London,04/05/2020,57,,10,4
7,Tolland,04/05/2020,94,,3,11
8,Windham,04/05/2020,32,,3,1
1,Fairfield,04/06/2020,3719,,572,101
2,Hartford,04/06/2020,882,,213,31
3,Litchfield,04/06/2020,230,,15,8
4,Middlesex,04/06/2020,135,,22,7
5,New Haven,04/06/2020,1468,,384,41
6,New London,04/06/2020,65,,10,4
7,Tolland,04/06/2020,103,,3,13
8,Windham,04/06/2020,40,,2,1
1,Fairfield,04/07/2020,4136,,613,132
2,Hartford,04/07/2020,1045,,243,48
3,Litchfield,04/07/2020,255,,17,9
4,Middlesex,04/07/2020,150,,26,7
5,New Haven,04/07/2020,1664,,390,60
6,New London,04/07/2020,85,,12,4
7,Tolland,04/07/2020,111,,4,13
8,Windham,04/07/2020,43,,3,1
1,Fairfield,04/08/2020,4417,,665,155
2,Hartford,04/08/2020,1290,,251,68
3,Litchfield,04/08/2020,292,,20,12
4,Middlesex,04/08/2020,174,,28,9
5,New Haven,04/08/2020,1945,,428,70
6,New London,04/08/2020,120,,16,5
7,Tolland,04/08/2020,128,,7,13
8,Windham,04/08/2020,49,,3,1
1,Fairfield,04/09/2020,4882,,664,178
2,Hartford,04/09/2020,1471,,276,75
3,Litchfield,04/09/2020,315,,25,13
4,Middlesex,04/09/2020,205,,26,14
5,New Haven,04/09/2020,2183,,447,78
6,New London,04/09/2020,139,,15,6
7,Tolland,04/09/2020,145,,7,13
8,Windham,04/09/2020,52,,4,1
1,Fairfield,04/10/2020,5180,,685,203
2,Hartford,04/10/2020,1615,,296,88
3,Litchfield,04/10/2020,346,,32,16
4,Middlesex,04/10/2020,240,,28,17
5,New Haven,04/10/2020,2383,,493,98
6,New London,04/10/2020,156,,17,7
7,Tolland,04/10/2020,152,,6,14
8,Windham,04/10/2020,59,,5,1
1,Fairfield,04/11/2020,5407,,676,220
2,Hartford,04/11/2020,1832,,311,101
3,Litchfield,04/11/2020,388,,38,20
4,Middlesex,04/11/2020,290,,27,18
5,New Haven,04/11/2020,2715,,514,107
6,New London,04/11/2020,185,,16,7
7,Tolland,04/11/2020,171,,7,15
8,Windham,04/11/2020,66,,4,1
1,Fairfield,04/12/2020,5534,,688,248
2,Hartford,04/12/2020,1914,,333,116
3,Litchfield,04/12/2020,403,,39,24
4,Middlesex,04/12/2020,299,,32,18
5,New Haven,04/12/2020,2946,,535,119
6,New London,04/12/2020,190,,16,7
7,Tolland,04/12/2020,182,,7,17
8,Windham,04/12/2020,66,,4,1
1,Fairfield,04/13/2020,6004,,710,262
2,Hartford,04/13/2020,2243,,361,133
3,Litchfield,04/13/2020,446,,37,24
4,Middlesex,04/13/2020,339,,35,19
5,New Haven,04/13/2020,3358,,580,135
6,New London,04/13/2020,222,,20,7
7,Tolland,04/13/2020,195,,13,17
8,Windham,04/13/2020,83,,4,1
1,Fairfield,04/14/2020,6213,,731,287
2,Hartford,04/14/2020,2370,,369,153
3,Litchfield,04/14/2020,460,,35,29
4,Middlesex,04/14/2020,355,,38,21
5,New Haven,04/14/2020,3543,,572,151
6,New London,04/14/2020,227,,17,7
7,Tolland,04/14/2020,201,,12,18
8,Windham,04/14/2020,87,,5,1
1,Fairfield,04/15/2020,6480,,784,365
2,Hartford,04/15/2020,2570,,402,213
3,Litchfield,04/15/2020,490,,32,35
4,Middlesex,04/15/2020,379,,40,28
5,New Haven,04/15/2020,3758,,612,195
6,New London,04/15/2020,236,,21,7
7,Tolland,04/15/2020,216,,11,22
8,Windham,04/15/2020,89,,6,1
1,Fairfield,04/16/2020,6816,,787,406
2,Hartford,04/16/2020,2859,,420,243
3,Litchfield,04/16/2020,535,,27,44
4,Middlesex,04/16/2020,394,,39,30
5,New Haven,04/16/2020,4163,,613,214
6,New London,04/16/2020,255,,23,9
7,Tolland,04/16/2020,241,,11,22
8,Windham,04/16/2020,87,,6,1
1,Fairfield,04/17/2020,7146,,797,425
2,Hartford,04/17/2020,3015,,410,266
3,Litchfield,04/17/2020,569,,28,46
4,Middlesex,04/17/2020,422,,37,32
5,New Haven,04/17/2020,4520,,633,229
6,New London,04/17/2020,292,,22,10
7,Tolland,04/17/2020,258,,12,24
8,Windham,04/17/2020,92,,7,2
1,Fairfield,04/18/2020,7363,,776,432
2,Hartford,04/18/2020,3196,,417,289
3,Litchfield,04/18/2020,593,,30,48
4,Middlesex,04/18/2020,448,,36,37
5,New Haven,04/18/2020,4743,,638,241
6,New London,04/18/2020,315,,23,10
7,Tolland,04/18/2020,270,,14,24
8,Windham,04/18/2020,97,,4,2
1,Fairfield,04/19/2020,7434,,746,447
2,Hartford,04/19/2020,3351,,420,295
3,Litchfield,04/19/2020,600,,27,48
4,Middlesex,04/19/2020,462,,33,40
5,New Haven,04/19/2020,4871,,633,257
6,New London,04/19/2020,339,,26,10
7,Tolland,04/19/2020,276,,12,24
8,Windham,04/19/2020,100,,4,2
1,Fairfield,04/20/2020,8320,,733,512
2,Hartford,04/20/2020,3823,,455,369
3,Litchfield,04/20/2020,639,,23,58
4,Middlesex,04/20/2020,484,,36,45
5,New Haven,04/20/2020,5272,,626,301
6,New London,04/20/2020,356,,29,13
7,Tolland,04/20/2020,299,,13,27
8,Windham,04/20/2020,108,,4,2
1,Fairfield,04/21/2020,8472,,735,544
2,Hartford,04/21/2020,3951,,473,402
3,Litchfield,04/21/2020,643,,23,59
4,Middlesex,04/21/2020,512,,40,47
5,New Haven,04/21/2020,5493,,625,322
6,New London,04/21/2020,369,,35,13
7,Tolland,04/21/2020,305,,13,30
8,Windham,04/21/2020,112,,5,2
1,Fairfield,04/22/2020,9883,,749,584
2,Hartford,04/22/2020,4128,,495,442
3,Litchfield,04/22/2020,722,,20,63
4,Middlesex,04/22/2020,525,,42,53
5,New Haven,04/22/2020,5811,,620,345
6,New London,04/22/2020,397,,32,14
7,Tolland,04/22/2020,331,,11,32
8,Windham,04/22/2020,122,,3,4
1,Fairfield,04/23/2020,10008,,730,615
2,Hartford,04/23/2020,4303,,490,469
3,Litchfield,04/23/2020,751,,22,66
4,Middlesex,04/23/2020,545,,38,57
5,New Haven,04/23/2020,6064,,626,372
6,New London,04/23/2020,419,,31,17
7,Tolland,04/23/2020,359,,6,33
8,Windham,04/23/2020,129,,4,4
1,Fairfield,04/24/2020,10227,,694,662
2,Hartford,04/24/2020,4570,,462,511
3,Litchfield,04/24/2020,808,,22,69
4,Middlesex,04/24/2020,561,,39,63
5,New Haven,04/24/2020,6286,,617,396
6,New London,04/24/2020,448,,33,23
7,Tolland,04/24/2020,375,,4,34
8,Windham,04/24/2020,139,,6,3
1,Fairfield,04/25/2020,10373,,649,689
2,Hartford,04/25/2020,4761,,443,553
3,Litchfield,04/25/2020,834,,22,73
4,Middlesex,04/25/2020,576,,41,62
5,New Haven,04/25/2020,6509,,610,416
6,New London,04/25/2020,473,,33,28
7,Tolland,04/25/2020,384,,6,35
8,Windham,04/25/2020,151,,6,3
1,Fairfield,04/26/2020,10529,1116,635,707
2,Hartford,04/26/2020,4989,559,426,579
3,Litchfield,04/26/2020,864,477,22,74
4,Middlesex,04/26/2020,588,361,37,66
5,New Haven,04/26/2020,6715,783,605,429
6,New London,04/26/2020,498,187,31,31
7,Tolland,04/26/2020,407,270,5,35
8,Windham,04/26/2020,157,134,5,3
1,Fairfield,04/27/2020,10763,1140,627,727
2,Hartford,04/27/2020,5157,578,429,612
3,Litchfield,04/27/2020,892,493,21,75
4,Middlesex,04/27/2020,609,374,37,69
5,New Haven,04/27/2020,6993,815,602,456
6,New London,04/27/2020,516,193,31,34
7,Tolland,04/27/2020,419,278,5,35
8,Windham,04/27/2020,164,140,6,3
1,Fairfield,04/28/2020,10874,1152,620,747
2,Hartford,04/28/2020,5224,585,418,643
3,Litchfield,04/28/2020,900,497,20,76
4,Middlesex,04/28/2020,618,380,31,70
5,New Haven,04/28/2020,7089,827,598,478
6,New London,04/28/2020,530,199,34,34
7,Tolland,04/28/2020,422,280,6,35
8,Windham,04/28/2020,164,140,5,3
1,Fairfield,04/29/2020,10985,1164,591,774
2,Hartford,04/29/2020,5388,604,403,670
3,Litchfield,04/29/2020,919,507,21,79
4,Middlesex,04/29/2020,631,388,37,76
5,New Haven,04/29/2020,7205,840,591,493
6,New London,04/29/2020,540,202,39,35
7,Tolland,04/29/2020,427,283,5,36
8,Windham,04/29/2020,165,141,4,2
1,Fairfield,04/30/2020,11294,1197,565,810
2,Hartford,04/30/2020,5601,627,416,698
3,Litchfield,04/30/2020,963,532,21,80
4,Middlesex,04/30/2020,657,404,42,79
5,New Haven,04/30/2020,7536,879,557,512
6,New London,04/30/2020,564,211,41,36
7,Tolland,04/30/2020,437,290,4,36
8,Windham,04/30/2020,186,159,4,2
1,Fairfield,05/01/2020,11612,1230,537,839
2,Hartford,05/01/2020,5931,664,413,715
3,Litchfield,05/01/2020,1014,560,22,86
4,Middlesex,05/01/2020,687,422,40,82
5,New Haven,05/01/2020,7900,921,533,533
6,New London,05/01/2020,603,226,38,42
7,Tolland,05/01/2020,446,296,6,38
8,Windham,05/01/2020,200,171,3,2
1,Fairfield,05/02/2020,11801,1250,525,865
2,Hartford,05/02/2020,6112,685,400,741
3,Litchfield,05/02/2020,1036,572,22,89
4,Middlesex,05/02/2020,707,435,37,91
5,New Haven,05/02/2020,8024,936,523,565
6,New London,05/02/2020,623,234,33,43
7,Tolland,05/02/2020,461,305,6,39
8,Windham,05/02/2020,211,180,5,2
1,Fairfield,05/03/2020,12245,1297,507,910
2,Hartford,05/03/2020,6173,692,362,773
3,Litchfield,05/03/2020,1047,578,23,94
4,Middlesex,05/03/2020,713,438,41,93
5,New Haven,05/03/2020,8110,946,487,595
6,New London,05/03/2020,641,240,33,45
7,Tolland,05/03/2020,464,307,6,40
8,Windham,05/03/2020,217,185,5,3
1,Fairfield,05/04/2020,12360,1310,519,935
2,Hartford,05/04/2020,6351,711,369,804
3,Litchfield,05/04/2020,1065,588,24,95
4,Middlesex,05/04/2020,734,451,42,95
5,New Haven,05/04/2020,8337,972,504,610
6,New London,05/04/2020,681,255,34,45
7,Tolland,05/04/2020,502,333,7,43
8,Windham,05/04/2020,223,191,1,4
1,Fairfield,05/05/2020,12455,1320,489,952
2,Hartford,05/05/2020,6530,731,361,842
3,Litchfield,05/05/2020,1085,599,21,100
4,Middlesex,05/05/2020,742,456,42,98
5,New Haven,05/05/2020,8419,982,487,629
6,New London,05/05/2020,704,264,36,47
7,Tolland,05/05/2020,513,340,6,44
8,Windham,05/05/2020,242,207,3,4
1,Fairfield,05/06/2020,12679,1343,469,977
2,Hartford,05/06/2020,6750,756,340,867
3,Litchfield,05/06/2020,1114,615,20,104
4,Middlesex,05/06/2020,764,470,45,104
5,New Haven,05/06/2020,8678,1012,468,643
6,New London,05/06/2020,742,278,35,49
7,Tolland,05/06/2020,522,346,5,46
8,Windham,05/06/2020,250,214,3,5
1,Fairfield,05/07/2020,12879,1365,439,1006
2,Hartford,05/07/2020,6904,773,348,884
3,Litchfield,05/07/2020,1130,624,17,103
4,Middlesex,05/07/2020,775,476,41,108
5,New Haven,05/07/2020,8887,1036,448,669
6,New London,05/07/2020,755,283,36,50
7,Tolland,05/07/2020,530,351,5,46
8,Windham,05/07/2020,249,213,2,5
1,Fairfield,05/08/2020,13030,1381,424,1017
2,Hartford,05/08/2020,7105,796,339,901
3,Litchfield,05/08/2020,1142,631,15,105
4,Middlesex,05/08/2020,789,485,44,114
5,New Haven,05/08/2020,9091,1060,437,686
6,New London,05/08/2020,775,290,33,54
7,Tolland,05/08/2020,540,358,5,46
8,Windham,05/08/2020,266,227,4,6
1,Fairfield,05/09/2020,13236,1402,403,1024
2,Hartford,05/09/2020,7263,814,316,909
3,Litchfield,05/09/2020,1153,637,19,107
4,Middlesex,05/09/2020,798,491,47,115
5,New Haven,05/09/2020,9209,1074,421,701
6,New London,05/09/2020,782,293,27,54
7,Tolland,05/09/2020,543,360,5,47
8,Windham,05/09/2020,270,231,4,7
1,Fairfield,05/10/2020,13312,1410,384,1034
2,Hartford,05/10/2020,7358,824,328,921
3,Litchfield,05/10/2020,1161,641,17,109
4,Middlesex,05/10/2020,801,492,42,115
5,New Haven,05/10/2020,9260,1080,405,716
6,New London,05/10/2020,784,294,26,56
7,Tolland,05/10/2020,545,361,4,47
8,Windham,05/10/2020,271,232,6,7
1,Fairfield,05/11/2020,13488,1429,378,1046
2,Hartford,05/11/2020,7528,843,320,931
3,Litchfield,05/11/2020,1171,647,21,110
4,Middlesex,05/11/2020,823,506,40,116
5,New Haven,05/11/2020,9430,1100,399,723
6,New London,05/11/2020,793,297,23,58
7,Tolland,05/11/2020,556,368,2,47
8,Windham,05/11/2020,281,240,6,7
1,Fairfield,05/12/2020,13636,1445,372,1068
2,Hartford,05/12/2020,7732,866,296,963
3,Litchfield,05/12/2020,1179,651,18,110
4,Middlesex,05/12/2020,837,515,36,116
5,New Haven,05/12/2020,9570,1116,404,745
6,New London,05/12/2020,804,301,24,60
7,Tolland,05/12/2020,560,371,3,49
8,Windham,05/12/2020,287,245,5,9
1,Fairfield,05/13/2020,13836,1466,362,1093
2,Hartford,05/13/2020,7935,889,269,999
3,Litchfield,05/13/2020,1203,664,14,115
4,Middlesex,05/13/2020,863,530,31,118
5,New Haven,05/13/2020,9712,1132,394,767
6,New London,05/13/2020,821,308,24,62
7,Tolland,05/13/2020,568,376,3,51
8,Windham,05/13/2020,291,249,6,11
1,Fairfield,05/14/2020,14009,1484,342,1109
2,Hartford,05/14/2020,8126,910,248,1025
3,Litchfield,05/14/2020,1218,673,14,115
4,Middlesex,05/14/2020,885,544,32,124
5,New Haven,05/14/2020,9881,1152,367,783
6,New London,05/14/2020,844,316,24,63
7,Tolland,05/14/2020,583,386,1,51
8,Windham,05/14/2020,301,257,5,12
1,Fairfield,05/15/2020,14140,1498,330,1125
2,Hartford,05/15/2020,8299,930,243,1044
3,Litchfield,05/15/2020,1234,681,10,116
4,Middlesex,05/15/2020,898,552,29,124
5,New Haven,05/15/2020,10075,1175,352,800
6,New London,05/15/2020,860,322,24,65
7,Tolland,05/15/2020,636,421,1,51
8,Windham,05/15/2020,304,260,5,12
1,Fairfield,05/16/2020,14248,1510,299,1146
2,Hartford,05/16/2020,8723,977,234,1069
3,Litchfield,05/16/2020,1269,701,10,116
4,Middlesex,05/16/2020,909,559,32,125
5,New Haven,05/16/2020,10159,1185,336,817
6,New London,05/16/2020,873,327,22,66
7,Tolland,05/16/2020,715,474,1,54
8,Windham,05/16/2020,313,267,3,14
1,Fairfield,05/17/2020,14439,1530,287,1153
2,Hartford,05/17/2020,8957,1004,235,1084
3,Litchfield,05/17/2020,1280,706,10,115
4,Middlesex,05/17/2020,936,575,32,131
5,New Haven,05/17/2020,10338,1205,331,830
6,New London,05/17/2020,876,328,21,66
7,Tolland,05/17/2020,735,485,1,54
8,Windham,05/17/2020,322,275,3,14
1,Fairfield,05/18/2020,14522,1539,287,1160
2,Hartford,05/18/2020,9050,1014,226,1090
3,Litchfield,05/18/2020,1290,712,11,117
4,Middlesex,05/18/2020,947,582,35,131
5,New Haven,05/18/2020,10427,1216,327,838
6,New London,05/18/2020,880,330,24,66
7,Tolland,05/18/2020,770,510,1,54
8,Windham,05/18/2020,326,279,3,14
1,Fairfield,05/19/2020,14719,1560,272,1167
2,Hartford,05/19/2020,9234,1034,222,1116
3,Litchfield,05/19/2020,1299,717,7,121
4,Middlesex,05/19/2020,965,593,33,131
5,New Haven,05/19/2020,10587,1234,326,855
6,New London,05/19/2020,896,336,24,68
7,Tolland,05/19/2020,786,521,0,55
8,Windham,05/19/2020,329,281,3,14
1,Fairfield,05/20/2020,14751,1563,241,1180
2,Hartford,05/20/2020,9299,1042,214,1133
3,Litchfield,05/20/2020,1303,719,7,121
4,Middlesex,05/20/2020,972,597,28,130
5,New Haven,05/20/2020,10663,1243,301,874
6,New London,05/20/2020,903,338,22,73
7,Tolland,05/20/2020,787,521,0,55
8,Windham,05/20/2020,336,287,3,14
1,Fairfield,05/21/2020,14889,1578,226,1195
2,Hartford,05/21/2020,9463,1060,184,1155
3,Litchfield,05/21/2020,1298,717,6,121
4,Middlesex,05/21/2020,992,610,28,135
5,New Haven,05/21/2020,10756,1254,272,888
6,New London,05/21/2020,910,341,21,72
7,Tolland,05/21/2020,796,527,0,55
8,Windham,05/21/2020,348,297,3,14
1,Fairfield,05/22/2020,14989,1588,227,1208
2,Hartford,05/22/2020,9545,1069,179,1169
3,Litchfield,05/22/2020,1304,720,5,122
4,Middlesex,05/22/2020,999,614,25,136
5,New Haven,05/22/2020,10847,1265,265,897
6,New London,05/22/2020,970,364,20,72
7,Tolland,05/22/2020,799,529,0,55
8,Windham,05/22/2020,354,302,3,14
1,Fairfield,05/23/2020,15114,1601,232,1215
2,Hartford,05/23/2020,9686,1085,164,1175
3,Litchfield,05/23/2020,1331,735,5,121
4,Middlesex,05/23/2020,1010,621,26,136
5,New Haven,05/23/2020,10905,1272,254,903
6,New London,05/23/2020,1046,392,17,74
7,Tolland,05/23/2020,807,535,0,55
8,Windham,05/23/2020,359,307,3,14
1,Fairfield,05/24/2020,15213,1612,233,1221
2,Hartford,05/24/2020,9841,1102,166,1187
3,Litchfield,05/24/2020,1346,743,6,126
4,Middlesex,05/24/2020,1012,622,29,138
5,New Haven,05/24/2020,11017,1285,253,922
6,New London,05/24/2020,1043,391,16,78
7,Tolland,05/24/2020,812,538,0,56
8,Windham,05/24/2020,365,312,3,14
1,Fairfield,05/25/2020,15355,1627,225,1231
2,Hartford,05/25/2020,9917,1111,173,1193
3,Litchfield,05/25/2020,1360,751,4,129
4,Middlesex,05/25/2020,1026,631,28,142
5,New Haven,05/25/2020,11121,1297,248,925
6,New London,05/25/2020,1075,403,14,78
7,Tolland,05/25/2020,821,544,0,56
8,Windham,05/25/2020,371,317,2,14
1,Fairfield,05/26/2020,15314,1623,220,1242
2,Hartford,05/26/2020,9962,1116,165,1203
3,Litchfield,05/26/2020,1360,751,5,130
4,Middlesex,05/26/2020,1061,652,30,143
5,New Haven,05/26/2020,11124,1297,248,934
6,New London,05/26/2020,1053,395,15,79
7,Tolland,05/26/2020,815,540,0,57
8,Windham,05/26/2020,371,317,1,14
1,Fairfield,05/27/2020,15353,1627,211,1246
2,Hartford,05/27/2020,10078,1129,158,1208
3,Litchfield,05/27/2020,1366,754,8,128
4,Middlesex,05/27/2020,1082,665,24,144
5,New Haven,05/27/2020,11198,1306,232,946
6,New London,05/27/2020,1067,400,12,83
7,Tolland,05/27/2020,822,545,2,57
8,Windham,05/27/2020,375,320,1,14
